@Comp_Define,COMP1(AR), COMP2(AG), COMP3(AA),COMP4,COMP5,,,
@UNIT,TIME(h),DV(umol/L),AMT(umol),Rat dose = 0.48mg/kg,0.96 mg/kg,,2.4mg/kg,
@ Rat Weight = 250 g,,,,,,,,
@Route: 1 = IV; 2 = IG,,,,,,,,
@ID,TIME,DV,AMT,MDV,CMT,EVID,DOSE_LEVEL,RTE
16,30,0.46384492,0,0,4,0,1.611123195,1
16,45,0.10766618,0,0,2,0,1.611123195,1
16,45,0.033551729,0,0,3,0,1.611123195,1
16,45,0.19386091,0,0,4,0,1.611123195,1
16,60,0.043657398,0,0,2,0,1.611123195,1
16,60,0.019833475,0,0,3,0,1.611123195,1
16,60,0.10360185,0,0,4,0,1.611123195,1
16,90,0.019071675,0,0,2,0,1.611123195,1
16,90,0.009659339,0,0,3,0,1.611123195,1
16,90,0.046618291,0,0,4,0,1.611123195,1
16,120,0.01477085,0,0,2,0,1.611123195,1
16,120,0.006282085,0,0,3,0,1.611123195,1
16,120,0.016069703,0,0,4,0,1.611123195,1
17,0,0,1.611123195,1,2,1,1.611123195,1
17,2,4.5478265,0,0,2,0,1.611123195,1
17,2,0.39062884,0,0,3,0,1.611123195,1
17,2,1.2048138,0,0,4,0,1.611123195,1
17,5,3.1254827,0,0,2,0,1.611123195,1
17,5,0.29385337,0,0,3,0,1.611123195,1
17,5,1.5121374,0,0,4,0,1.611123195,1
17,10,2.0995534,0,0,2,0,1.611123195,1
17,10,0.31643033,0,0,3,0,1.611123195,1
17,10,1.5446832,0,0,4,0,1.611123195,1
17,15,0.99982543,0,0,2,0,1.611123195,1
17,15,0.16238356,0,0,3,0,1.611123195,1
17,15,1.0184165,0,0,4,0,1.611123195,1
17,20,0.65338033,0,0,2,0,1.611123195,1
17,20,0.2039737,0,0,3,0,1.611123195,1
17,20,0.99636615,0,0,4,0,1.611123195,1
17,30,0.34256423,0,0,2,0,1.611123195,1
17,30,0.12828091,0,0,3,0,1.611123195,1
17,30,0.62960493,0,0,4,0,1.611123195,1
17,45,0.13841292,0,0,2,0,1.611123195,1
